substance,very negative,negative,neutral,positive,very positive
25B-NBOMe,0.21677947,0.2760249,0.202012,0.16787371,0.1373099
25C-NBOMe,0.19670035,0.26700082,0.20730202,0.19486782,0.134129
25I-NBOMe,0.24710077,0.26145473,0.17818005,0.15762742,0.15563701
2C-B,0.18266124,0.25625393,0.20454381,0.1981807,0.15836032
2C-C,0.15144688,0.25462466,0.22358215,0.23788922,0.13245709
2C-D,0.15427676,0.30185685,0.23710857,0.20060419,0.106153645
2C-E,0.2055803,0.2634243,0.20325986,0.17829274,0.14944279
2C-I,0.17410372,0.24799933,0.20898268,0.20684631,0.16206793
2C-P,0.22003417,0.26183012,0.19667318,0.1738692,0.14759333
2C-T-2,0.18691146,0.2656908,0.20858872,0.18438365,0.15442537
2C-T-7,0.21553318,0.2606801,0.18296659,0.17864394,0.16217615
3-MeO-PCP,0.14691636,0.2583412,0.22347298,0.2249693,0.14630015
4-HO-DET,0.10195112,0.18847121,0.21218018,0.30974913,0.18764836
4-HO-DiPT,0.15889676,0.32025346,0.22778375,0.15785708,0.13520895
4-HO-MET,0.14613275,0.2613376,0.2328256,0.22635682,0.13334721
4-HO-MiPT,0.12625235,0.23890972,0.23538205,0.24592097,0.15353487
5-MeO-AMT,0.30320916,0.2928678,0.1740419,0.12650599,0.103375174
5-MeO-DALT,0.16397263,0.31501848,0.2058643,0.18614435,0.12900026
5-MeO-DMT,0.24307254,0.2564986,0.17457661,0.1514307,0.17442153
5-MeO-DiPT,0.19563557,0.2651743,0.20787618,0.18989176,0.1414222
5-MeO-MIPT,0.14977649,0.2747305,0.2379357,0.21220799,0.12534931
6-APB,0.18370557,0.23189726,0.18192878,0.2160135,0.18645488
AL-LAD,0.19444565,0.26510134,0.20691366,0.18578139,0.14775795
AMT,0.2345931,0.2772863,0.19232528,0.162008,0.1337873
Amanitas,0.2660991,0.29095808,0.18451272,0.13875933,0.11967074
Ayahuasca,0.22709693,0.23420396,0.17107247,0.17049372,0.19713292
Bromo-Dragonfly,0.19099586,0.29951087,0.2109648,0.16915365,0.12937483
DMT,0.19993213,0.2182032,0.17239329,0.18450534,0.22496603
DOB,0.20825125,0.29441836,0.22687605,0.1542956,0.116158746
DOC,0.21767075,0.28666312,0.19213209,0.15739362,0.14614043
DOI,0.1721539,0.21778408,0.20553146,0.23213933,0.1723912
DOM,0.13008924,0.25970596,0.24022312,0.20598833,0.16399336
DPT,0.20301013,0.2747864,0.20186187,0.16550446,0.1548371
DXM,0.30084676,0.30396205,0.1683138,0.11506684,0.11181054
DiPT,0.22175387,0.35596702,0.21840523,0.12243253,0.08144137
Ibogaine,0.22142889,0.2424503,0.17454077,0.16861825,0.19296181
Ketamine,0.2478675,0.28176624,0.18219791,0.14296381,0.14520456
LSA,0.24254309,0.27411816,0.18036921,0.15658464,0.14638488
LSD,0.26075542,0.25266632,0.16502874,0.14681724,0.1747323
MDA,0.18086104,0.24855363,0.18878652,0.19722597,0.18457286
MDAI,0.26727667,0.29650867,0.1900163,0.1696153,0.07658309
MDMA,0.19992968,0.22213055,0.16145259,0.18827066,0.22821651
Mescaline,0.18451104,0.22755891,0.18729143,0.20155406,0.19908455
Methoxetamine,0.22736017,0.2757339,0.19128864,0.15721253,0.14840475
Methylone,0.12814793,0.21609543,0.22209223,0.24604443,0.18761997
PCP,0.3358257,0.33290702,0.15538283,0.08565834,0.09022608
Psilocin,0.24406274,0.24817677,0.1682334,0.15933122,0.18019588
Salvia divinorum,0.24348588,0.27305806,0.18125945,0.147911,0.15428562
TMA-2,0.169144,0.2955971,0.20589027,0.18741675,0.14195189
